id,sentence1,sentence2,label
5828,"Twice Sparrow sold the island twice to Thomas Pollock , who would soon be the governor of North Carolina ( from 1712 to 1714 and again 1722 ) .","Sparrow soon sold the island to Thomas Pollock , who would be twice the governor of North Carolina ( from 1712 to 1714 and again in 1722 ) .",0
2150,His published works contain a number of sermons written in `` Old Yet Ever New '' ( 1904 ) and `` Dayspring From On High '' ( 1907 ) .,His written works include a number of sermons published in `` Old Yet Ever New '' ( 1904 ) and `` Dayspring From On High '' ( 1907 ) .,0
3930,The Temple is widely perceived as well organized and well maintained to help the devotees have a memorable Dharshan of Sri Bhavani Amman .,The temple is commonly perceived as well organized and well maintained to help the Devotees have a memorable Dharshan of Sri Bhavani Amman .,1
6320,"`` The Househunter '' ( 1999 ) was described as `` gloriously honest '' and `` unashamedly original '' , by British author and critic Julie Myerson .",`` The Househunter '' ( 1999 ) was described by the British author and critic Julie Myerson as '' gloriously honest `` and '' inshamed original `` .,0
3291,"Types A and B were proposed in the 1970 ’ s , and the first types were subsequently proposed when the other two had proved insufficient to classify ADRs .","Types A and B were proposed in the 1970s , and the first types were proposed subsequently when the other two proved insufficient to classify ADRs .",1
683,"The Greenwood Union Cemetery is a graveyard in Rye and Harrison , Westchester County , New York .","The Greenwood Union Cemetery is a cemetery in Westchester County , New York and Harrison in Rye .",0
2841,"In February 2018 , the Utah House of Representatives passed a bill to legalize the `` right to grow '' and try medical marijuana plants for terminally ill patients .","In February 2018 , the Utah House of Representatives passed a bill to legalize the `` right to growth '' and try medical marijuana plants for incurably ill patients .",1
1003,"The daughter of the actor Arjun Sarja is married to actor Rajesh , Niveditha .","The daughter of actor Rajesh , Niveditha is married to Arjun Sarja actor Arjun Married",0
6756,"Michael Aspel was the subject of `` This Is Your Life '' in 2003 , when he was surprised by John on the set of `` Merseybeat '' .","In 2003 , Michael Michael became Aspel on the subject of `` This Is Your Life '' when he was surprised by John on the set of `` Merseybeat '' .",0
5130,Parmelee studied under Henry Bryant of Hartford beginning in 1872 and the following year with Nathaniel Jocelyn in New Haven .,Parmelee studied with Nathaniel Jocelyn of Hartford in 1872 and with Henry Bryant in New Haven the following year .,0
4291,"Table Table Head is a neighborhood located in the Canadian province of Glace Bay , in Nova Scotia , Cape Breton Regional Municipality on Cape Breton Island .","Table Head is a neighbourhood located in the Canadian province of Nova Scotia , in Glace Bay , Cape Breton Regional Municipality on Cape Breton Island .",0
2174,"In September 1798 , Wordsworth , Coleridge , and Dorothy travelled to Germany to explore proximate living arrangements , but this proved difficult .","In September 1798 , Dorothy , Coleridge and Wordsworth travelled to Germany to explore nearby arrangements , but this proved difficult .",1
484,"In 1990 , Elba sold KQTV along with WRBL in Columbus , Georgia and WTWO in Terre Haute , Indiana to TCS for $ 58 million","In 1990 , Elba sold KQTV to TCS for US $ 58 million together with WRBL in Columbus , Georgia and WTWO in Terre Haute , Indiana .",1
3814,"Kobach had previously appointed Newby to supervise elections Johnson County , Kansas .","Newby had previously appointed Kobach to oversee Johnson County , Kansas elections .",0
4415,"Borussia Dortmund , after Bayern Munich , was the second German club to win the Intercontinental Cup in 1976 .",FC Bayern Munich was the second German club to win the Intercontinental Cup after Borussia Dortmund in 1976 .,0
519,The first formal description of the Vietnamese green fink was created in 1926 by the American ornithologist Jean Théodore Delacour under the binomial name of `` Hypacanthis monguilloti '' .,"The first formal description of the American greenfinch was by the Vietnamese ornithologist Jean Théodore Delacour in 1926 , under the binomial name `` Hypacanthis monguilloti '' .",0
6989,"Newby had previously appointed Kobach to supervise elections Johnson County , Kansas .",Kobach had previously appointed Newby to oversee Johnson County ’ s Kansas elections .,0
1346,"It was founded in 1982 by Samuel Lipman , former art critic for `` The New York Times '' and Hilton Kramer , a pianist and music critic .","It was founded in 1982 by Hilton Kramer , a former art critic for `` The New York Times '' , and Samuel Lipman , pianist and music critic .",0
697,The fluid catalytic cracking is the main conversion unit with a rated capacity of .,The main cracking is the catalytic fluid conversion unit with a nominal capacity of .,0
1010,"For the first time in the history of the league , Paul Gait from Rochester played against his twin brother Gary Gait of Philadelphia .","For the first time in the history of the league , Gary Gait von Rochester played against his twin brother Paul Gait of Philadelphia .",0
6318,"They are small , built of concrete faced with high blocks of stone .","They are small , built of concrete with high stone blocks .",1
6596,"This describes the diffusion of the particle over time , an analogue equation for the rotational diffusion of a rigid molecule can be derived in a similar way .",This describes the diffusion of the particle over time . An analogous equation for the rotational diffusion of a rigid molecule can be derived in a similar way .,1
2771,"According to the United States Census Bureau , Ardmore is a total surface area of which is land and , or 3.67 % , has water .","According to the United States Census Bureau , Ardmore is a total area , of which is land and , or 3.67 % , has water .",1
1075,The first landing in Wau was owned by Ernest Mustar on 19 April 1927 in a De Havilland DH.37 by Guinea Gold Airways by Lae Airfield .,The first landing at Lae Airfield was made on 19 April 1927 by Ernest Mustar in a De Havilland DH.37 owned by Guinea Gold Airways from Wau .,0
1340,DNB was subordinated to the German news agency LETA during the Latvian occupation by Nazi - Germany .,"During the occupation of Latvia by Nazi - Germany , LETA was subordinated to the German news agency DNB .",0
2987,"Blackstone employs approximately 120 private equity investment employees in New York City ; London ; Menlo Park , California ; Mumbai ; Hong Kong ; and Beijing .","Blackstone employs about 120 private equity investment employees in New York City , London , Menlo Park , California , Mumbai , Hong Kong and Beijing .",1
7710,"The Soviet Union was officially neutral until June 1941 in Asia , and until August 1945 in Europe , when it attacked Japan in cooperation with the U.S .","The Soviet Union was officially in Asia until June 1941 , and officially neutral in Europe until August 1945 , when it attacked Japan in collaboration with the US .",1
6748,Radley had further opportunities to expand his skills by being abroad at the Peninsula Hotel in Bangkok and the Mandarin Oriental in Hong Kong in 1991 .,"Radley had further opportunities to expand his skills , spending time abroad in 1991 at the Peninsula Hotel in Bangkok and the Mandarin Oriental in Hong Kong .",1
4422,"High towering humanoid forms that resemble shimmering glass plates , reinforced with smoky metal bands .",Towering humanoid forms that resemble smoky glass plates reinforced with shimmering metal bands .,0
3393,"As traditionally defined , several species from Australia , one from Africa , several from Asia and two from South America belong to the family .","As traditionally defined , several species from South America , one from Africa , several from Asia and two from Australia belong to the family .",0
1484,"At the same time , a Neapolitan garrison would betray the first man to bribe him .","At the same time , a Neapolitan garrison would bribe it to the first man , who would betray him .",0
4862,"In addition to the waters of the Colorado , water from Willow Creek just below the dam is pumped up to Lake Granby .","In addition to the waters of the Willow Creek , water from Lake Granby is pumped under the dam to Colorado .",0
1935,The layout of Davey Glen Park is similar to the Twin Pines Park and other parks in Belmont .,The layout of Belmont is similar to that of Twin Pines park and other parks in Davey Glen Park .,0
1035,"Brazil proposed a military alliance with Rosas : Rosas would take over Uruguay with Brazilian support , and Brazil would take the Republic of Riograndese with Argentine support .","Brazil proposed a military alliance to Rosas : Rosas would take Uruguay with Brazilian support , and Brazil would take the Riograndese Republic with Argentine support .",1
5485,"According to the U.S. Census Bureau , the county has a total area of which is land and ( 2.1 % ) water .","According to the U.S. Census Bureau , the county is a total area of , of which has land and ( 2.1 % ) is water .",1
2479,"The light characteristic shown is a quick-flashing white light ( Q.W . ) , visible 064 ° -238 ° and 290 ° -295 ° for .","The shown light characteristic is a fast flashing white light ( Q.W . ) , visible for 064 ° -238 ° and 290 ° -295 ° .",1
350,He died in 1909 in Calgary and was buried in Montreal .,In 1909 he died in Montreal and was buried in Calgary .,0
4394,"On August 6 , 2010 , he left Rennes and joined the Ligue 2 Club Tour , signing a three-year contract .","He joined Rennes and left Ligue 2 club Tours on 6 August 2010 , signing a three-year contract .",0
4353,Revco was acquired in 1997 by CVS .,CVS was subsequently acquired by Revco in 1997 .,0
7558,All buildings in phase 1 were reconstructed in 1992 . They were later demolished and became the current Hiu Lai Court .,All buildings in Phase 1 were reconstructed in 1992 and they were later demolished and became the current Hiu Lai Court .,1
1062,"She sat in commissions dealing with tourism , culture and social development , as well as a special commission on regional projects in southern and south-eastern Mexico .","She sat on commissions dealing with tourism , culture , and social development , as well as a regional commission for special projects in southern and southeastern Mexico .",0
880,The music of the film was composed by K. Kalyan and lyrics written by V. Manohar .,The music of the film was composed by K. Kalyan and texts by V. Manohar were written .,1
5603,"A further completion of the opera , by Karl Aage Rasmussen , was recorded in 2005 and published in 2006 .","Another completion of the opera , by Karl Aage Rasmussen , was published in 2005 and recorded in 2006 .",0
2543,"When he died in 1719 , his eldest son , also called Joseph , followed initially Joseph Truman .","When he died in 1719 , his eldest son , initially called Joseph , also succeeded Joseph Truman .",0
6424,"Frederick Forsyth is the protagonist in two novels , `` The Fist of God '' ( 1994 ) and `` The Afghan '' ( 2006 ) by Mike Martin .","Frederick Forsyth is the protagonist in two novels , `` The Faust of God '' ( 1994 ) and `` The Afghan '' ( 2006 ) by Mike Martin .",0
6745,"In 1994 , Smith Smith returned to SummerSlam to WWF , where he immediately became involved in an ongoing family feud between Bret Hart and his brother Owen Hart .","In 1994 , Bret Hart returned to the WWF at SummerSlam , where he was immediately engaged in an ongoing family feud between Smith and his brother Owen Hart .",0
1851,He always added his own surname of Bhosle and then treated the child like his own son .,He afterwards added his own surname of Bhosle and always treated the child like his own son .,0
5403,STX Europe was acquired by Aker Yards in 2008 .,Aker Yards was acquired by STX Europe in 2008 .,0
1678,"He had two children with his wife Hallie Olivere : one daughter , Natalie , and a son , Hunter .","He had two children with his wife Hallie Olivere : a daughter , Natalie , and a son , Hunter .",1
1836,"Atopic dermatitis is also called eczema , a term that sometimes refers to a larger group of skin conditions .","Atopic dermatitis is sometimes called eczema , a term that also applies to a larger group of skin conditions .",0
7112,The Giant Dipper was built by Arthur Looff and was designed by Frederick Church .,The Giant Dipper was designed by Arthur Looff and built by Frederick Church .,0
4953,"However , the United States later forced other nations and American companies to restrict trade with Cuba with foreign subsidiaries .","The United States , however , later forced other nations and foreign companies with American subsidiaries to restrict trade with Cuba .",0
4705,"The NRA has referred to the NAGR leader , Dudley Brown , as '' Al Sharpton of the gun movement `` .","The NRA has referred to the leader of the NAGR , Al Sharpton , as '' the Dudley Brown of the gun movement `` .",0
5200,"In 1926 she left St. Petersburg and moved to Vinniza with her parents and brothers , where she met Ivan Samylovskii two years later .","In 1926 she left Winniza and moved to St. Petersburg with her parents and brothers , where she met Ivan Samylovskii two years later .",0
458,"They lived at Stevenson 's house , Robinsfield , near Bardowie Loch near Milngavie .","They lived at Stevenson 's house , Robinsfield , near Bardowie Loch at Milngavie .",1
4648,"Laudium is a very wealthy area ( which is unusual for a township ) , with relatively large mansions visible from the R55 road .","Laudium is a relatively wealthy area ( which is unusual for a community ) , with very large mansions visible from the R55 street .",0
6508,"They lived at Stevenson 's house , Robinsfield , near Bardowie Loch near Milngavie .","They lived at Stevenson 's house , Robinsfield , near Milngavie at Bardowie Loch .",0
3183,"The most important use of phosphoric acid ( basic lead acid ) is the production of phosphorous phosphite , which is a stabiliser in PVC and related chlorinated polymers .","The most important use of phosphoric acid ( phosphoric acid ) is the production of basic lead phosphite , which is a stabilizer in PVC and related chlorinated polymers .",0
5338,The heraldic coat of arms of Bavaria was designed in 1946 by Eduard Ege according to modern traditions .,The modern coat of arms of Bavaria was designed in 1946 by Eduard Ege according to heraldic traditions .,0
1946,"Although opposition activist Guillermo Valencia was also a member of the Conservative Party , he received support from the Liberal Party .","Although the opponent , Guillermo Valencia , was also a member of the Liberal Party , he received the support of the Conservative Party .",0
6125,This was followed by `` Night Mother '' with Jill Perryman for Edgar Metcalfe at the Perth Playhouse then nationally .,This was followed by `` Night Mother '' with Jill Perryman for Edgar Metcalfe at the Perth Playhouse then nationwide .,1
3264,"Daniel Armstrong is an Australian film director who is also known for his work as a writer , producer and editor .","Armstrong is an Australian film director . Daniel Armstrong is also known for his work as a writer , producer and editor .",1
6523,King Kong : Jean - Luc Ponty is the music by Frank Zappa ( or simply King Kong ) plays an album of French .,King Kong : Jean - Luc Ponty plays the music by Frank Zappa ( or simply King Kong ) is an album of French ones,0
6522,1 BFTS trained students from the Royal Australian Navy and the Australian Army 's Fleet Air Arm .,1 BFTS trained students from the Royal Australian Navy and the Fleet Air Arm of the Australian Army .,1
6703,A digital version of this journal can be found in the complete and free available digital collections of the ULB Bonn .,A complete and freely available digital version of this journal can be found in the digital collections of ULB Bonn .,0
2989,"On May 28 , 2011 , a leadership was chosen to replace Darrell Pasloski , and Dennis Fentie was elected after only one election .","On May 28 , 2011 , a leadership was chosen to replace Dennis Fentie , and Darrell Pasloski was elected after only one election .",0
7021,"The orbital is the same as the orbital , but the and are formed by taking linear","The Orbital is the same as the Orbital , but that and are formed by taking linear .",1
1551,"This was a series of nested polar scales , so that measurements in azimuth and elevation could be performed directly in angular coordinates relative to the ecliptic .","This was a series of nested polar scales , so that measurements in azimuth and elevation could be made directly in angular coordinates , relative to the ecliptic .",1
2165,"In March 2008 , Rufus Wainwright opened the day at the Opera House Napa Valley .","In March 2008 , Day opened for Rufus Wainwright in the Opera House Napa Valley .",0
587,"It is a yellow solid with good solubility in water , but low solubility in DMF .","It is a yellow solid with a low solubility in water , but good solubility in DMF .",0
2406,"Brazil proposed a military alliance to Rosas : Rosas would take Uruguay with Argentine support , and Brazil would take the Riograndese Republic with Brazilian support .","Rosas proposed a military alliance for Brazil : Rosas would take over Uruguay with Argentine support , and Brazil would take over the Republic of Riograndese with Brazilian support .",0
6801,is the international member federation for Grenada in the following national organisations :,GAA is the international member federation for Grenada in the following national organisations :,1
