phrase1,phrase2,sentence1,sentence2,label,idx
key tracks,important recordings,I Feel Wrong (Homosexuality Pt:1) and Stronger Than Dirt (Homosexuality Pt:2) were also key tracks on the album.,I Feel Wrong (Homosexuality Pt:1) and Stronger Than Dirt (Homosexuality Pt:2) were also important recordings on the album.,1,212
next line,following verse,"The delay gave them time to bring up reinforcements, to reorganise, and to improve their next line of defence at Magersfontein.","The delay gave them time to bring up reinforcements, to reorganise, and to improve their following verse of defence at Magersfontein.",0,909
wide majority,broad bulk,The election needs a wide majority that is progressively reduced from two-thirds to one-half plus one of the votes after the third ballot.,The election needs a broad bulk that is progressively reduced from two-thirds to one-half plus one of the votes after the third ballot.,0,1741
major stature,considerable standing,"With the release in 1982 of his first solo album, ""Close to the Bone"", O'Connell emerged as an artist of major stature.","With the release in 1982 of his first solo album, ""Close to the Bone"", O'Connell emerged as an artist of considerable standing.",0,1244
major assets,dominant strengths,"Examples of use: aeroplanes, spacecraft, Formula 1 and major assets such as ships, trains etc.","Examples of use: aeroplanes, spacecraft, Formula 1 and dominant strengths such as ships, trains etc.",0,1696
modern point,current mark,modern point of sale systems can operate on computer networks using a variety of software programs.,current mark of sale systems can operate on computer networks using a variety of software programs.,1,1182
second date,following engagement,"The full ""Rhythm Nation 1814 World Tour"" concert from the second date at the Tokyo Dome in Japan was filmed and aired on Japanese television.","The full ""Rhythm Nation 1814 World Tour"" concert from the following engagement at the Tokyo Dome in Japan was filmed and aired on Japanese television.",0,361
overall plan,general idea,"Wood, Jacob D. Cox and Milo S. Hascall; the overall plan was for Sherman's army to attack the Confederate right flank.","Wood, Jacob D. Cox and Milo S. Hascall; the general idea was for Sherman's army to attack the Confederate right flank.",1,1473
first pillar,initial column,The construction of the first pillar was completed by October 2017 and construction work of up to ten pillars was underway.,The construction of the initial column was completed by October 2017 and construction work of up to ten pillars was underway.,1,678
live one,hot lead,"Often this method is used to clean lists, and rather than unsubscribing, the number is categorized as a live one.","Often this method is used to clean lists, and rather than unsubscribing, the number is categorized as a hot lead.",1,1621
smart way,good manner,"The ""victim"" device might stop receiving traffic when the ""tapping-device"" is updating/rebooting if said mechanisms weren't integrated in a smart way (aka.","The ""victim"" device might stop receiving traffic when the ""tapping-device"" is updating/rebooting if said mechanisms weren't integrated in a good manner (aka.",1,1089
beginning and end points,opening and closing periods,Picking particular years for the beginning and end points of eras in European classical music is difficult for several reasons.,Picking particular years for the opening and closing periods of eras in European classical music is difficult for several reasons.,1,1987
successful marriage,prosperous matrimony,The building is as notable for its successful marriage of contemporary and ancient architecture as it is for its collection.,The building is as notable for its prosperous matrimony of contemporary and ancient architecture as it is for its collection.,0,1847
state division,California department,Ivan may have found state division ineffective in a period of war and its significant social and economic pressures.,Ivan may have found California department ineffective in a period of war and its significant social and economic pressures.,0,987
river runs,water pathways,Ghaggar river is only river runs in rainy season.,Ghaggar river is only water pathways in rainy season.,0,1512
degraded position,dissipated state,Since a failure of the channel can knock down two gyros and put the station in a degraded position the reconfiguration was made necessary.,Since a failure of the channel can knock down two gyros and put the station in a dissipated state the reconfiguration was made necessary.,1,111
field teams,forced labor group,"Switzerland, France, Germany and Puerto Rico are all field teams.","Switzerland, France, Germany and Puerto Rico are all forced labor group.",0,1487
one pack,a single carton,"This is significantly cheaper than buying condoms from a store, where the price can be up to $20 for one pack of 12 condoms.","This is significantly cheaper than buying condoms from a store, where the price can be up to $20 for a single carton of 12 condoms.",1,1453
final exercise,last event,The final exercise is using the Smith Gun (an artillery piece unique to the Home Guard) to repel an assault by Ramsey's regular troops.,The last event is using the Smith Gun (an artillery piece unique to the Home Guard) to repel an assault by Ramsey's regular troops.,0,383
particular site,given page,"The more people using the software to access a particular site, such as Facebook, the more likely it is blocked by the people's country.","The more people using the software to access a given page, such as Facebook, the more likely it is blocked by the people's country.",1,1395
next point,upcoming subject,"The next point-of-interest is Māhukona Park, an abandoned harbor once used by the adjacent Kohala Sugar Mill.","The upcoming subject-of-interest is Māhukona Park, an abandoned harbor once used by the adjacent Kohala Sugar Mill.",1,1054
light poles,portable support shafts,"or, the whale released their debut album, ""light poles and pines"", in 2007 independently (in 2009 it was reissued on seany records).","or, the whale released their debut album, ""portable support shafts and pines"", in 2007 independently (in 2009 it was reissued on seany records).",0,755
nominal rate,base speed,"The lodging facility offers accommodation at a nominal rate and is open to all, irrespective of their religion.","The lodging facility offers accommodation at a base speed and is open to all, irrespective of their religion.",0,324
primary type,original style,Short tandem repeat (STR) analysis is the primary type of forensic DNA analysis performed in modern DNA laboratories.,Short tandem repeat (STR) analysis is the original style of forensic DNA analysis performed in modern DNA laboratories.,0,1623
separate seat,solitary chair,"The Armenian Catholics regained their separate seat, which was elected from the same constituency.","The Armenian Catholics regained their solitary chair, which was elected from the same constituency.",0,787
powerful spring,strong geyser,"However, Ajvaz Dede found a powerful spring of water near the village on the mountain Šuljaga.","However, Ajvaz Dede found a strong geyser of water near the village on the mountain Šuljaga.",1,368
older account,greater make up,"According to an older account, Christos Natsios was born in Steiri, Boeotia in 1832 to a shepherd Arvanite-Vlach family.","According to an greater make up, Christos Natsios was born in Steiri, Boeotia in 1832 to a shepherd Arvanite-Vlach family.",0,1819
true mark,real sign,"Theodoric's view was clearly expressed in his letters to the Jews of Genoa: ""The true mark of ""civilitas"" is the observance of law.","Theodoric's view was clearly expressed in his letters to the Jews of Genoa: ""The real sign of ""civilitas"" is the observance of law.",1,69
first flush,preliminary surface runoff of a rainstorm,"Apart from this definition, there are a number of rating parameters in literature to determine the occurrence of a first flush.","Apart from this definition, there are a number of rating parameters in literature to determine the occurrence of a preliminary surface runoff of a rainstorm.",1,857
drum design,construction and appearance of the instrument,"Gas flow, heat source, and drum design all affect the efficiency and suitability of a dryer for different materials.","Gas flow, heat source, and construction and appearance of the instrument all affect the efficiency and suitability of a dryer for different materials.",0,1483
live nights,twilight shows broadcast in real-time,The city is well-structured with live nights and many shops and markets.,The city is well-structured with twilight shows broadcast in real-time and many shops and markets.,0,1555
present breed,existing procreate,"The present breed was created in the 1990s, by combining the same breeds again.","The existing procreate was created in the 1990s, by combining the same breeds again.",0,1691
new flagship,improved boat,"In November 2010, Nvidia released a new flagship GPU based on an enhanced GF100 architecture (GF110) called the GTX 580.","In November 2010, Nvidia released a improved boat GPU based on an enhanced GF100 architecture (GF110) called the GTX 580.",0,1474
least one end,"minimum, a sole transit point","However, Kant also claims that there is at least one end that is universally sought after, and he determines that to be happiness.","However, Kant also claims that there is at minimum, a sole transit point that is universally sought after, and he determines that to be happiness.",0,1798
effortless movement,Easy function,effortless movement will ensure the longevity of the door's moving parts and operating soundness.,Easy function will ensure the longevity of the door's moving parts and operating soundness.,1,478
big noise,huge clamor,"And while the eclipse happened, they play the drum and instruments and do big noise and clamors.","And while the eclipse happened, they play the drum and instruments and do huge clamor and clamors.",1,281
storm front,meteorological precipitation event,"in ""storm front"", harry says he found mister as a small kitten in a trash can, about three years earlier.","in ""meteorological precipitation event"", harry says he found mister as a small kitten in a trash can, about three years earlier.",0,1647
key source,primary contribution location,"A key source for many of the images that appear in ""Burnt Norton"" is Eliot's childhood and his experience at Burnt Norton.","A primary contribution location for many of the images that appear in ""Burnt Norton"" is Eliot's childhood and his experience at Burnt Norton.",1,1556
associated track,correlating music single,The names in brackets are those of commercially available albums which contain the associated track.,The names in brackets are those of commercially available albums which contain the correlating music single.,1,1729
world theaters,national and international stages,"At the age of 35, Koev has more than 960 concerts performed in the world theaters.","At the age of 35, Koev has more than 960 concerts performed in the national and international stages.",0,210
key bridges,important connecting structures,"Tropical cyclones often destroy key bridges, overpasses, and roads, complicating efforts to transport food, clean water, and medicine to the areas that need it.","Tropical cyclones often destroy important connecting structures, overpasses, and roads, complicating efforts to transport food, clean water, and medicine to the areas that need it.",1,297
live round,round of the game where contestants sing live,"the judges then have to choose from the individual ""battles"" which artists to take to the live round.","the judges then have to choose from the individual ""battles"" which artists to take to the round of the game where contestants sing live.",1,1884
outer coat,exterior jacket,"The shell contains seven whorls, without the protoconch, which is lost in the specimen, while the outer coat of the apical whorls is much eroded.","The shell contains seven whorls, without the protoconch, which is lost in the specimen, while the exterior jacket of the apical whorls is much eroded.",0,1833
larger event,bigger incident,It is not clear if such an eruption would fit the pattern set by Holocene eruptions or would be a larger event.,It is not clear if such an eruption would fit the pattern set by Holocene eruptions or would be a bigger incident.,1,651
whole club,entire organization,"Not only the football team was in a crisis however, as the whole club was in a chaotic situation.","Not only the football team was in a crisis however, as the entire organization was in a chaotic situation.",1,1233
whole parts,large structures,Manufacturing domain deals with the creation and assembling the whole parts of automobiles is also included in it.,Manufacturing domain deals with the creation and assembling the large structures of automobiles is also included in it.,1,1502
local figure,neighborhood Ice,"Instead, the local figure skating club contracts with the rink for blocks of ice time, which the club then resells to its members.","Instead, the neighborhood Ice skating club contracts with the rink for blocks of ice time, which the club then resells to its members.",1,1931
active hand,instrumental role,"In forward short draw, the hand closest to the wheel is the active hand.","In forward short draw, the hand closest to the wheel is the instrumental role.",0,916
current appeal,Contemporary demand,"Although still in production, current appeal of the Fuchs wheel is derived from its vintage design and rich history in motor racing since the 1960s.","Although still in production, Contemporary demand of the Fuchs wheel is derived from its vintage design and rich history in motor racing since the 1960s.",1,993
single chapter,one section,"Most of the states only have a single chapter, though the group itself notes progressive expansion.","Most of the states only have a one section, though the group itself notes progressive expansion.",0,429
past feature,former item,"The song ends with Minaj stating ""I am the female Weezy"", a line borrowed from her past feature ""Y.U.","The song ends with Minaj stating ""I am the female Weezy"", a line borrowed from her former item ""Y.U.",0,1370
larger production,greater cultivation,"Previously Shendurjana Ghat town was known for its larger production and market of green chillies, red chillies and turmeric tubers.","Previously Shendurjana Ghat town was known for its greater cultivation and market of green chillies, red chillies and turmeric tubers.",1,239
particularly difficult subject,tough character,"This may involve setting boundaries collaboratively, for example, so that all parties agree that a particularly difficult subject will not be discussed.","This may involve setting boundaries collaboratively, for example, so that all parties agree that a tough character will not be discussed.",0,879
sex roles,male- or female-specific duties,"Often the male feeds the female, but in certain species where the sex roles are reversed, the female may feed the male.","Often the male feeds the female, but in certain species where the male- or female-specific duties are reversed, the female may feed the male.",1,620
massive influence,tremendous impact,Federer and Wawrinka had a massive influence in Switzerland winning the Davis Cup title in 2014.,Federer and Wawrinka had a tremendous impact in Switzerland winning the Davis Cup title in 2014.,0,256
future engagement,subsequent occurrence,"Advertisers can retain the phone numbers of callers to build a customer database, which can be used for future engagement and analytics.","Advertisers can retain the phone numbers of callers to build a customer database, which can be used for subsequent occurrence and analytics.",0,611
older line,earlier track,"The latest version of Inkscape 1.0.x (and older line 0.92.x) is available for Linux, Windows 7+, and macOS 10.11-10.15 platforms.","The latest version of Inkscape 1.0.x (and earlier track 0.92.x) is available for Linux, Windows 7+, and macOS 10.11-10.15 platforms.",0,544
good links,apt connections,"In January 2015, Google's John Mueller said that a Penguin penalty can be removed by simply building good links.","In January 2015, Google's John Mueller said that a Penguin penalty can be removed by simply building apt connections.",0,771
unfortunate part,unlucky role,The unfortunate part is that some equipment manuals do not indicate whether a hardwired terminator is included or not.,The unlucky role is that some equipment manuals do not indicate whether a hardwired terminator is included or not.,0,1419
essential power,Core energy,"The WA Property Council said ""Non essential power including decorative lighting in shopping centres will be switched off.","The WA Property Council said ""Non Core energy including decorative lighting in shopping centres will be switched off.",0,1041
real application,material accomplishment,"These papers generated little interest until Hounsfield and colleagues built the first CT scanner in 1971, taking Cormack's theoretical calculations into a real application.","These papers generated little interest until Hounsfield and colleagues built the first CT scanner in 1971, taking Cormack's theoretical calculations into a material accomplishment.",1,1789
little queen,barely any matriarchal,"""little queen"" was released on may 14, 1977, and the reworked version of ""magazine"" was re-released on april 22, 1978.","""barely any matriarchal"" was released on may 14, 1977, and the reworked version of ""magazine"" was re-released on april 22, 1978.",0,759
broader market,wider audience,"In May 2012, Harrah's Chester changed its name to Harrah's Philadelphia to appeal to a broader market.","In May 2012, Harrah's Chester changed its name to Harrah's Philadelphia to appeal to a wider audience.",1,382
defensive line,football defense positions,"He played on both offensive line and defensive line at Briarcrest Christian School in Memphis, Tennessee, from 1981-1985.","He played on both offensive line and football defense positions at Briarcrest Christian School in Memphis, Tennessee, from 1981-1985.",1,1103
rough shape,basic form,"A semicircular stairwell projects from one sidewall, and a bowed porch from the other, giving the house the rough shape of a parallelogram.","A semicircular stairwell projects from one sidewall, and a bowed porch from the other, giving the house the basic form of a parallelogram.",1,973
parallel motion,action extending in the same direction,"What therefore happens is that energy is converted, from the part associated with the parallel motion v// to the perpendicular part.","What therefore happens is that energy is converted, from the part associated with the action extending in the same direction v// to the perpendicular part.",1,352
visual record,viewable measure,"This provides a visual record of the sale, and tracks mistakes or potential theft by employees.","This provides a viewable measure of the sale, and tracks mistakes or potential theft by employees.",1,1605
major criticism,Serious downside,"In this TV Azteca-produced program, the positive image of homosexuality goes along with a major criticism of the Mexican political system.","In this TV Azteca-produced program, the positive image of homosexuality goes along with a Serious downside of the Mexican political system.",0,1825
fine place,nice location,"montemarano's first novel, ""a fine place"", explored the aftermath of a racially motivated murder in brooklyn.","montemarano's first novel, ""a nice location"", explored the aftermath of a racially motivated murder in brooklyn.",0,1036
high impact,maximum results,High speed collisions and force in bites have cause the viperfish to adapt to high impact.,High speed collisions and force in bites have cause the viperfish to adapt to maximum results.,0,1107
popular convention,public assembly,"Music and chanting is a popular convention of , and the player is usually considered to be the leader of the production.","Music and chanting is a public assembly of , and the player is usually considered to be the leader of the production.",0,494
book reading,public narration of the novel,Portugal has become one of the countries in Europe with the lowest attendances of theater and the lowest rates of book reading.,Portugal has become one of the countries in Europe with the lowest attendances of theater and the lowest rates of public narration of the novel.,0,393
unusual period,abnormal line,"There was an unusual period of inactivity across much of the basin from January to March, typically the most active months.","There was an abnormal line of inactivity across much of the basin from January to March, typically the most active months.",1,1546
first glass,earliest window,"The first glass was broken in Toledo on Monday, the day after the unrest began in Detroit.","The earliest window was broken in Toledo on Monday, the day after the unrest began in Detroit.",1,464
notable defense,crucial protection,"In a 1985 article, Julia Annas made a notable defense of the dialogue's possible value as an authentically Platonic production.","In a 1985 article, Julia Annas made a crucial protection of the dialogue's possible value as an authentically Platonic production.",0,886
whole scene,entire event,The whole scene is reminiscent of the great rituals on the banks of the Holy Ganges in India.,The entire event is reminiscent of the great rituals on the banks of the Holy Ganges in India.,1,1193
consistent pattern,continuous arrangement,"For a healthy individual with normal lungs, the graph has a consistent pattern that is repeated throughout the 12 second breathing period.","For a healthy individual with normal lungs, the graph has a continuous arrangement that is repeated throughout the 12 second breathing period.",1,366
open book,permitted reading material,"Prior to commencing the evaluation flight, an evaluee must achieve a minimum grade of qualified on both open book and closed book NATOPS examinations.","Prior to commencing the evaluation flight, an evaluee must achieve a minimum grade of qualified on both permitted reading material and closed book NATOPS examinations.",1,1893
predominant part,main piece,"Cortot believes that the ""weight of the hand"" should lean towards the fingers playing the predominant part while the others ""remain limp"".","Cortot believes that the ""weight of the hand"" should lean towards the fingers playing the main piece while the others ""remain limp"".",1,1873
simple interpretation,straightforward meaning,"However, the Vatican declined the request, noting that it was ""restricted to the simple interpretation of Article 4 of the Treaty of 1874.""","However, the Vatican declined the request, noting that it was ""restricted to the straightforward meaning of Article 4 of the Treaty of 1874.""",0,744
internal stress,domestic tension,"This internal stress can only be overcome if Afghanistan diversifies its income sources and expands its extractive industries.""","This domestic tension can only be overcome if Afghanistan diversifies its income sources and expands its extractive industries.""",1,529
military patrol,trained defense group,"In October 1878, a group of Korana and San rebels were savagely attacked by a military patrol and 46 of them were killed.","In October 1878, a group of Korana and San rebels were savagely attacked by a trained defense group and 46 of them were killed.",1,802
different cross,crucifix shaped piece,In this way assessors will challenge the candidates with different cross-questions and reasons behind the answers.,In this way assessors will challenge the candidates with crucifix shaped piece-questions and reasons behind the answers.,0,1223
either the shot,both the kick,either the shot through the lungs or the buckshot in the abdomen was sufficient to kill him.,both the kick through the lungs or the buckshot in the abdomen was sufficient to kill him.,0,1978
major country,sizeable nation,"At present, Canada remains the only major country in the Pacific Rim that is not producing electricity from its geothermal resources.","At present, Canada remains the only sizeable nation in the Pacific Rim that is not producing electricity from its geothermal resources.",1,1905
ideal figure,perfect body,"Kusunoki ""stands in the history of his country as the ideal figure of a warrior, compact of civil and military virtues in a high degree.""","Kusunoki ""stands in the history of his country as the perfect body of a warrior, compact of civil and military virtues in a high degree.""",0,1699
second largest body,second-biggest group,"It is the second largest body of liquid on the surface of Titan, after Kraken Mare.","It is the second-biggest group of liquid on the surface of Titan, after Kraken Mare.",0,1544
another bar,additional piece,L. S. S.” Additionally another bar may be placed centrally with the then current season years on it.,L. S. S.” Additionally additional piece may be placed centrally with the then current season years on it.,1,1313
fast division,highly mobile military unit,"A naive way of computing
would be to use a fast division algorithm.","A naive way of computing
would be to use a highly mobile military unit algorithm.",0,306
founder group,creator class,"incorporated in 1992, pku resource group itself is currently 40% owned by peking university and 30% by founder group.","incorporated in 1992, pku resource group itself is currently 40% owned by peking university and 30% by creator class.",0,1666
fluid movement,smooth motions,"Kučera was nicknamed the ""Little Cat"" because of his deceptive style of play and his fluid movement around the court resembling his coach.","Kučera was nicknamed the ""Little Cat"" because of his deceptive style of play and his smooth motions around the court resembling his coach.",1,862
little queen,"the movie ""Little Queen""",Virgin queens appear to have little queen pheromone and often do not appear to be recognized as queens by the workers.,"Virgin queens appear to have the movie ""Little Queen"" pheromone and often do not appear to be recognized as queens by the workers.",0,1566
white writing,colorless creating,The Republic of China Military Police uses a fleet of black patrol cars with white writing on the side.,The Republic of China Military Police uses a fleet of black patrol cars with colorless creating on the side.,0,530
clear sides,transparent faces,Groups other than political parties took clear sides in regard to the proposal outside of Parliament.,Groups other than political parties took transparent faces in regard to the proposal outside of Parliament.,0,654
one data,a particular research,"Early stopping is implemented using one data set for training, one statistically independent data set for validation and another for testing.","Early stopping is implemented using a particular research set for training, one statistically independent data set for validation and another for testing.",0,1259
